train_subject,ws_session,r2_ws,r2_bs_pooled,r2_diff_ws_minus_bs,n_train
sub-001,001,0.24495172879851967,-1.5036967056430819,1.7486484344416016,1004
sub-001,002,0.20151836327349615,-1.9475289953934904,2.1490473586669867,775
sub-002,001,-0.09707407616123653,-0.15684764145433805,0.059773565293101516,1158
sub-002,002,-0.07176010304517688,-1.956713587275836,1.8849534842306592,1153
sub-003,001,-0.01980632725890441,-0.021205098500952202,0.0013987712420477916,1198
sub-003,002,-0.6538665775394459,-0.10220532471096466,-0.5516612528284812,535
sub-004,001,-0.08750407953556638,-0.10904021898468641,0.02153613944912003,1126
sub-004,002,0.037039984177751895,-0.04567906021943546,0.08271904439718736,864
sub-006,001,-0.0648577460340436,-0.21229503469802036,0.14743728866397676,1117
sub-006,002,-0.12099415548716519,-0.3914817952659779,0.27048763977881274,1222
sub-007,001,0.005304245253119677,-0.21076001535362066,0.21606426060674033,1229
sub-007,002,0.040515825637392866,-0.2092593125166482,0.24977513815404107,1274
sub-008,001,0.009898554964500872,-0.5116274737522242,0.521526028716725,1193
sub-008,002,0.021073952313589883,-0.4359698180635829,0.4570437703771728,1193
sub-009,001,-0.11072707567750273,-0.260925776980935,0.15019870130343227,1162
sub-009,002,-0.061326735706214386,-0.18402238433255746,0.12269564862634308,904
sub-010,001,-0.23667364460172724,-0.5806306557592622,0.34395701115753496,1105
sub-010,002,0.09919292240225475,-0.22573214604831882,0.32492506845057356,1177
sub-011,001,0.017698212903385246,-0.04224470178799811,0.05994291469138335,1389
sub-011,002,-0.1836886954016843,-0.10827954597064826,-0.07540914943103605,1442
sub-012,001,-0.6021892204527475,-0.12323474628015929,-0.4789544741725882,1229
sub-012,002,-0.017897913506660812,-0.17195185216567643,0.15405393865901562,1299
sub-013,001,-0.010791095488748681,-0.14093970674087486,0.13014861125212618,1080
sub-013,002,0.08263956708441544,-0.08564502011903552,0.16828458720345096,1165
sub-014,001,0.04598286331720203,-0.3365403464889585,0.3825232098061605,1082
sub-014,002,-0.04236343806599341,-0.3520495554409431,0.30968611737494967,1120
sub-015,001,-0.09780291350319614,-0.3704220003205261,0.27261908681732994,1263
sub-015,002,0.05887222383594104,-0.04453823292994996,0.103410456765891,1331
sub-016,001,-0.08866114863691243,-0.13429132010095035,0.045630171464037916,1163
sub-016,002,-0.042773617437239286,-0.19493549867291105,0.15216188123567176,1189
sub-017,001,-0.12720568318783987,-0.2357740681685836,0.10856838498074373,1174
sub-017,002,0.04918359360181335,-0.15445257967189585,0.2036361732737092,1178
sub-018,001,-0.007340649595494186,-0.0827864659366373,0.07544581634114311,1154
sub-018,002,-0.05234889674033272,-0.05082749861425517,-0.0015213981260775444,1243
sub-019,001,-0.05276316952423832,-0.047381749648956806,-0.005381419875281512,1255
sub-019,002,-0.07350350886130452,-0.23830813065798173,0.1648046217966772,1283
sub-020,001,0.044125629940718,-0.39090833392547863,0.43503396386619664,1030
sub-020,002,0.04681936243277607,-0.15591344821558106,0.20273281064835713,886
sub-021,001,0.0772155079821707,-0.5069069968982338,0.5841225048804045,1017
sub-021,002,0.14489255651304722,-0.27427960809576657,0.4191721646088138,780
sub-024,001,0.05203360412231717,-0.013734765074798094,0.06576836919711526,1179
sub-024,002,-0.24741093481625387,-0.15052547209786526,-0.0968854627183886,1322
sub-025,001,-0.4987432049243523,-0.058468205045166144,-0.44027499987918617,1031
sub-025,002,0.010720532757376278,-0.24751363717341945,0.25823416993079573,991
